ID,Prob1
0, 0.38
1, 0.45
2, 0.52
3, 0.12
4, 0.24
5, 0.38
6, 0.17
7, 0.71
8, 0.77
9, 0.24
10, 0.25
11, 0.32
12, 0.38
13, 0.42
14, 0.32
15, 0.18
16, 0.27
17, 0.11
18, 0.27
19, 0.33
20, 0.43
21, 0.25
22, 0.44
23, 0.12
24, 0.37
25, 0.36
26, 0.42
27, 0.18
28, 0.35
29, 0.93
30, 0.14
31, 0.39
32, 0.09
33, 0.27
34, 0.42
35, 0.29
36, 0.32
37, 0.48
38, 0.28
39, 0.49
40, 0.51
41, 0.25
42, 0.28
43, 0.47
44, 0.61
45, 0.31
46, 0.41
47, 0.56
48, 0.37
49, 0.34
50, 0.76
51, 0.43
52, 0.32
53, 0.39
54, 0.52
55, 0.29
56, 0.79
57, 0.16
58, 0.21
59, 0.29
60, 0.28
61, 0.62
62, 0.47
63, 0.24
64, 0.09
65, 0.39
66, 0.35
67, 0.09
68, 0.09
69, 0.31
70, 0.78
71, 0.82
72, 0.36
73, 0.21
74, 0.08
75, 0.54
76, 0.13
77, 0.38
78, 0.18
79, 0.17
80, 0.35
81, 0.16
82, 0.21
83, 0.47
84, 0.55
85, 0.44
86, 0.62
87, 0.23
88, 0.13
89, 0.53
90, 0.13
91, 0.23
92, 0.32
93, 0.41
94, 0.29
95, 0.24
96, 0.25
97, 0.09
98, 0.19
99, 0.87
100, 0.49
101, 0.52
102, 0.31
103, 0.31
104, 0.19
105, 0.18
106, 0.16
107, 0.32
108, 0.15
109, 0.35
110, 0.26
111, 0.30
112, 0.21
113, 0.25
114, 0.85
115, 0.02
116, 0.16
117, 0.18
118, 0.29
119, 0.20
120, 0.12
121, 0.41
122, 0.70
123, 0.49
124, 0.15
125, 0.27
126, 0.32
127, 0.31
128, 0.21
129, 0.14
130, 0.39
131, 0.47
132, 0.13
133, 0.23
134, 0.16
135, 0.21
136, 0.32
137, 0.16
138, 0.33
139, 0.06
140, 0.17
141, 0.42
142, 0.69
143, 0.14
144, 0.17
145, 0.25
146, 0.64
147, 0.22
148, 0.34
149, 0.38
150, 0.28
151, 0.29
152, 0.39
153, 0.24
154, 0.67
155, 0.31
156, 0.14
157, 0.36
158, 0.12
159, 0.63
160, 0.28
161, 0.14
162, 0.20
163, 0.19
164, 0.38
165, 0.22
166, 0.09
167, 0.49
168, 0.77
169, 0.08
170, 0.09
171, 0.41
172, 0.18
173, 0.51
