ID,Prob1
0, 0.44
1, 0.28
2, 0.52
3, 0.23
4, 0.28
5, 0.26
6, 0.29
7, 0.63
8, 0.71
9, 0.19
10, 0.30
11, 0.25
12, 0.37
13, 0.66
14, 0.29
15, 0.32
16, 0.28
17, 0.18
18, 0.21
19, 0.37
20, 0.35
21, 0.22
22, 0.29
23, 0.42
24, 0.25
25, 0.37
26, 0.41
27, 0.13
28, 0.23
29, 0.85
30, 0.10
31, 0.25
32, 0.22
33, 0.26
34, 0.45
35, 0.45
36, 0.29
37, 0.54
38, 0.39
39, 0.46
40, 0.28
41, 0.15
42, 0.33
43, 0.49
44, 0.42
45, 0.37
46, 0.33
47, 0.57
48, 0.31
49, 0.38
50, 0.60
51, 0.25
52, 0.47
53, 0.24
54, 0.59
55, 0.14
56, 0.72
57, 0.22
58, 0.27
59, 0.25
60, 0.32
61, 0.43
62, 0.19
63, 0.15
64, 0.28
65, 0.22
66, 0.75
67, 0.22
68, 0.23
69, 0.26
70, 0.78
71, 0.88
72, 0.30
73, 0.26
74, 0.19
75, 0.46
76, 0.19
77, 0.36
78, 0.21
79, 0.30
80, 0.32
81, 0.19
82, 0.31
83, 0.28
84, 0.33
85, 0.26
86, 0.61
87, 0.28
88, 0.20
89, 0.55
90, 0.19
91, 0.26
92, 0.24
93, 0.55
94, 0.18
95, 0.23
96, 0.36
97, 0.18
98, 0.18
99, 0.54
100, 0.18
101, 0.49
102, 0.31
103, 0.21
104, 0.29
105, 0.20
106, 0.31
107, 0.32
108, 0.26
109, 0.38
110, 0.35
111, 0.23
112, 0.21
113, 0.34
114, 0.52
115, 0.14
116, 0.12
117, 0.31
118, 0.31
119, 0.27
120, 0.18
121, 0.36
122, 0.66
123, 0.49
124, 0.23
125, 0.44
126, 0.40
127, 0.23
128, 0.26
129, 0.14
130, 0.51
131, 0.41
132, 0.20
133, 0.35
134, 0.16
135, 0.34
136, 0.23
137, 0.19
138, 0.26
139, 0.09
140, 0.20
141, 0.36
142, 0.62
143, 0.15
144, 0.32
145, 0.24
146, 0.48
147, 0.25
148, 0.29
149, 0.48
150, 0.58
151, 0.25
152, 0.51
153, 0.24
154, 0.77
155, 0.24
156, 0.33
157, 0.22
158, 0.23
159, 0.34
160, 0.44
161, 0.21
162, 0.26
163, 0.24
164, 0.11
165, 0.44
166, 0.17
167, 0.32
168, 0.15
169, 0.12
170, 0.18
171, 0.40
172, 0.19
173, 0.61
174, 0.24
175, 0.29
176, 0.26
177, 0.27
178, 0.60
179, 0.16
180, 0.64
181, 0.70
182, 0.17
183, 0.18
184, 0.72
185, 0.22
186, 0.65
187, 0.72
188, 0.29
189, 0.27
190, 0.93
191, 0.34
192, 0.42
193, 0.24
194, 0.26
195, 0.35
196, 0.14
197, 0.30
198, 0.24
199, 0.18
200, 0.17
201, 0.23
202, 0.88
203, 0.20
204, 0.39
205, 0.21
206, 0.26
207, 0.34
208, 0.29
209, 0.60
210, 0.31
211, 0.40
212, 0.38
213, 0.45
214, 0.39
215, 0.23
216, 0.40
217, 0.21
218, 0.17
219, 0.43
220, 0.30
221, 0.35
222, 0.10
223, 0.52
224, 0.38
225, 0.21
226, 0.42
227, 0.29
228, 0.45
229, 0.18
230, 0.23
231, 0.59
232, 0.37
233, 0.28
234, 0.38
235, 0.39
236, 0.31
237, 0.34
238, 0.62
239, 0.41
240, 0.41
241, 0.15
242, 0.23
243, 0.17
244, 0.28
245, 0.27
246, 0.17
247, 0.68
248, 0.37
249, 0.21
250, 0.84
251, 0.25
252, 0.09
253, 0.20
254, 0.28
255, 0.12
256, 0.49
257, 0.20
258, 0.78
259, 0.21
260, 0.72
261, 0.34
262, 0.26
263, 0.13
264, 0.25
265, 0.25
266, 0.19
267, 0.27
268, 0.23
269, 0.40
270, 0.16
271, 0.13
272, 0.19
273, 0.27
274, 0.64
275, 0.30
276, 0.73
277, 0.82
278, 0.24
279, 0.26
280, 0.73
281, 0.22
282, 0.15
283, 0.31
284, 0.28
285, 0.48
286, 0.44
287, 0.36
288, 0.26
289, 0.23
290, 0.22
291, 0.29
292, 0.19
293, 0.41
294, 0.15
295, 0.15
296, 0.29
297, 0.12
298, 0.31
299, 0.68
300, 0.31
301, 0.36
302, 0.53
303, 0.27
304, 0.19
305, 0.40
306, 0.37
307, 0.22
308, 0.19
309, 0.56
310, 0.31
311, 0.24
312, 0.39
313, 0.21
314, 0.62
315, 0.37
316, 0.08
317, 0.40
318, 0.30
319, 0.44
320, 0.26
321, 0.41
322, 0.30
323, 0.32
324, 0.26
325, 0.35
326, 0.37
327, 0.36
328, 0.39
329, 0.18
330, 0.17
331, 0.42
332, 0.35
333, 0.21
334, 0.39
335, 0.17
336, 0.26
337, 0.90
338, 0.29
339, 0.28
340, 0.45
341, 0.20
342, 0.12
343, 0.16
344, 0.30
345, 0.77
346, 0.63
347, 0.07
348, 0.18
349, 0.54
350, 0.19
351, 0.36
352, 0.19
353, 0.46
354, 0.39
355, 0.21
356, 0.11
357, 0.38
358, 0.35
359, 0.22
360, 0.24
361, 0.11
362, 0.22
363, 0.43
364, 0.20
365, 0.72
366, 0.25
367, 0.38
368, 0.25
369, 0.28
370, 0.21
371, 0.20
372, 0.32
373, 0.18
374, 0.49
375, 0.26
376, 0.43
377, 0.24
378, 0.56
379, 0.18
380, 0.45
381, 0.35
382, 0.36
383, 0.74
384, 0.33
385, 0.40
386, 0.35
387, 0.33
388, 0.19
389, 0.26
390, 0.14
391, 0.23
392, 0.53
393, 0.27
394, 0.39
395, 0.20
396, 0.56
397, 0.30
398, 0.27
399, 0.83
400, 0.32
401, 0.31
402, 0.08
403, 0.22
404, 0.30
405, 0.20
406, 0.56
407, 0.32
408, 0.27
409, 0.29
410, 0.08
411, 0.27
412, 0.47
413, 0.40
414, 0.28
415, 0.27
416, 0.31
417, 0.17
418, 0.18
419, 0.55
420, 0.39
421, 0.27
422, 0.30
423, 0.24
424, 0.27
425, 0.42
426, 0.17
427, 0.28
428, 0.19
429, 0.08
430, 0.29
431, 0.58
432, 0.14
433, 0.24
434, 0.55
435, 0.27
436, 0.33
437, 0.45
438, 0.24
439, 0.18
440, 0.27
441, 0.23
442, 0.61
443, 0.22
444, 0.16
445, 0.29
446, 0.47
447, 0.32
448, 0.82
449, 0.24
450, 0.28
451, 0.61
452, 0.42
453, 0.55
454, 0.34
455, 0.14
456, 0.68
457, 0.39
458, 0.47
459, 0.27
460, 0.52
461, 0.18
462, 0.28
463, 0.25
464, 0.32
465, 0.20
466, 0.24
467, 0.34
468, 0.25
469, 0.40
470, 0.33
471, 0.29
472, 0.30
473, 0.34
474, 0.37
475, 0.38
476, 0.23
477, 0.29
478, 0.31
479, 0.13
480, 0.16
481, 0.32
482, 0.47
483, 0.26
484, 0.18
485, 0.76
486, 0.69
487, 0.70
488, 0.51
489, 0.51
490, 0.22
491, 0.33
492, 0.10
493, 0.15
494, 0.46
495, 0.46
496, 0.84
497, 0.60
498, 0.76
499, 0.58
500, 0.46
501, 0.35
502, 0.19
503, 0.25
504, 0.49
505, 0.18
506, 0.34
507, 0.07
508, 0.29
509, 0.30
510, 0.42
511, 0.20
512, 0.31
513, 0.14
514, 0.30
515, 0.67
516, 0.25
517, 0.41
518, 0.34
519, 0.84
520, 0.53
521, 0.28
522, 0.28
523, 0.53
524, 0.28
525, 0.55
526, 0.29
527, 0.27
528, 0.51
529, 0.30
530, 0.12
531, 0.36
532, 0.33
533, 0.30
534, 0.76
535, 0.42
536, 0.33
537, 0.24
538, 0.30
539, 0.47
540, 0.21
541, 0.07
542, 0.72
543, 0.59
544, 0.18
545, 0.47
546, 0.37
547, 0.18
548, 0.46
549, 0.12
550, 0.47
551, 0.30
552, 0.44
553, 0.20
554, 0.35
555, 0.18
556, 0.31
557, 0.26
558, 0.27
559, 0.30
560, 0.26
561, 0.22
562, 0.13
563, 0.25
564, 0.21
565, 0.30
566, 0.20
567, 0.50
568, 0.23
569, 0.20
570, 0.40
571, 0.22
572, 0.18
573, 0.42
574, 0.23
575, 0.25
576, 0.22
577, 0.40
578, 0.37
579, 0.37
580, 0.53
581, 0.25
582, 0.48
583, 0.37
584, 0.19
585, 0.19
586, 0.68
587, 0.42
588, 0.19
589, 0.73
590, 0.11
591, 0.15
592, 0.76
593, 0.36
594, 0.22
595, 0.34
596, 0.28
597, 0.24
598, 0.23
599, 0.29
600, 0.38
601, 0.26
602, 0.23
603, 0.61
604, 0.15
605, 0.16
606, 0.51
607, 0.14
608, 0.32
609, 0.49
610, 0.26
611, 0.49
612, 0.50
613, 0.46
614, 0.33
615, 0.21
616, 0.31
617, 0.30
618, 0.21
619, 0.42
620, 0.46
621, 0.40
622, 0.23
623, 0.30
624, 0.25
625, 0.44
626, 0.28
627, 0.29
628, 0.45
629, 0.68
630, 0.44
631, 0.24
632, 0.39
633, 0.25
634, 0.31
635, 0.60
636, 0.34
637, 0.26
638, 0.20
639, 0.26
640, 0.17
641, 0.46
642, 0.53
643, 0.35
644, 0.43
645, 0.19
646, 0.20
647, 0.18
648, 0.28
649, 0.26
650, 0.32
651, 0.22
652, 0.70
653, 0.21
654, 0.20
655, 0.37
656, 0.25
657, 0.75
658, 0.48
659, 0.24
660, 0.78
661, 0.34
662, 0.26
663, 0.14
664, 0.76
665, 0.15
666, 0.16
667, 0.28
668, 0.62
669, 0.25
670, 0.08
671, 0.30
672, 0.23
673, 0.12
674, 0.20
675, 0.50
676, 0.32
677, 0.46
678, 0.21
679, 0.18
680, 0.79
681, 0.30
682, 0.20
683, 0.68
684, 0.25
685, 0.24
686, 0.20
687, 0.28
688, 0.17
689, 0.31
690, 0.43
691, 0.21
692, 0.50
693, 0.43
694, 0.42
695, 0.43
696, 0.27
697, 0.15
698, 0.11
699, 0.31
700, 0.53
701, 0.25
702, 0.20
703, 0.34
704, 0.62
705, 0.65
706, 0.21
707, 0.17
708, 0.14
709, 0.14
710, 0.48
711, 0.86
712, 0.22
713, 0.23
714, 0.32
715, 0.34
716, 0.77
717, 0.25
718, 0.40
719, 0.20
720, 0.25
721, 0.77
722, 0.46
723, 0.39
724, 0.22
725, 0.54
726, 0.22
727, 0.78
728, 0.35
729, 0.33
730, 0.17
731, 0.34
732, 0.16
733, 0.19
734, 0.19
735, 0.28
736, 0.34
737, 0.21
738, 0.87
739, 0.36
740, 0.75
741, 0.78
742, 0.22
743, 0.23
744, 0.62
745, 0.60
746, 0.79
747, 0.47
748, 0.12
749, 0.21
750, 0.17
751, 0.37
752, 0.20
753, 0.11
754, 0.33
755, 0.72
756, 0.30
757, 0.42
758, 0.18
759, 0.38
760, 0.28
761, 0.29
762, 0.33
