ID,Prob1
0, 0.32
1, 0.31
2, 0.41
3, 0.26
4, 0.25
5, 0.33
6, 0.29
7, 0.73
8, 0.75
9, 0.16
10, 0.34
11, 0.25
12, 0.36
13, 0.56
14, 0.33
15, 0.27
16, 0.25
17, 0.17
18, 0.19
19, 0.40
20, 0.38
21, 0.24
22, 0.35
23, 0.25
24, 0.24
25, 0.40
26, 0.36
27, 0.21
28, 0.28
29, 0.79
30, 0.10
31, 0.24
32, 0.22
33, 0.26
34, 0.48
35, 0.47
36, 0.26
37, 0.47
38, 0.47
39, 0.47
40, 0.30
41, 0.16
42, 0.30
43, 0.44
44, 0.40
45, 0.34
46, 0.27
47, 0.64
48, 0.30
49, 0.38
50, 0.72
51, 0.25
52, 0.44
53, 0.26
54, 0.61
55, 0.16
56, 0.60
57, 0.22
58, 0.25
59, 0.23
60, 0.43
61, 0.50
62, 0.21
63, 0.20
64, 0.19
65, 0.24
66, 0.78
67, 0.19
68, 0.25
69, 0.21
70, 0.77
71, 0.87
72, 0.27
73, 0.24
74, 0.18
75, 0.52
76, 0.18
77, 0.40
78, 0.22
79, 0.34
80, 0.33
81, 0.19
82, 0.29
83, 0.28
84, 0.36
85, 0.28
86, 0.53
87, 0.29
88, 0.21
89, 0.55
90, 0.18
91, 0.26
92, 0.23
93, 0.55
94, 0.19
95, 0.26
96, 0.34
97, 0.16
98, 0.16
99, 0.61
100, 0.15
101, 0.53
102, 0.33
103, 0.24
104, 0.29
105, 0.26
106, 0.30
107, 0.26
108, 0.22
109, 0.36
110, 0.38
111, 0.27
112, 0.16
113, 0.30
114, 0.52
115, 0.12
116, 0.16
117, 0.32
118, 0.34
119, 0.29
120, 0.21
121, 0.45
122, 0.65
123, 0.47
124, 0.21
125, 0.43
126, 0.30
127, 0.27
128, 0.28
129, 0.17
130, 0.50
131, 0.47
132, 0.16
133, 0.34
134, 0.16
135, 0.32
136, 0.18
137, 0.14
138, 0.32
139, 0.09
140, 0.20
141, 0.33
142, 0.60
143, 0.20
144, 0.28
145, 0.22
146, 0.37
147, 0.23
148, 0.25
149, 0.47
150, 0.51
151, 0.23
152, 0.50
153, 0.23
154, 0.69
155, 0.26
156, 0.39
157, 0.24
158, 0.19
159, 0.32
160, 0.41
161, 0.16
162, 0.23
163, 0.24
164, 0.16
165, 0.37
166, 0.18
167, 0.32
168, 0.20
169, 0.17
170, 0.14
171, 0.37
172, 0.19
173, 0.58
174, 0.27
175, 0.27
176, 0.23
177, 0.24
178, 0.61
179, 0.15
180, 0.50
181, 0.68
182, 0.23
183, 0.18
184, 0.68
185, 0.29
186, 0.67
187, 0.78
188, 0.28
189, 0.24
190, 0.90
191, 0.26
192, 0.59
193, 0.20
194, 0.26
195, 0.36
196, 0.15
197, 0.31
198, 0.32
199, 0.15
200, 0.18
201, 0.21
202, 0.78
203, 0.19
204, 0.34
205, 0.19
206, 0.19
207, 0.32
208, 0.31
209, 0.66
210, 0.36
211, 0.39
212, 0.35
213, 0.44
214, 0.39
215, 0.20
216, 0.43
217, 0.21
218, 0.14
219, 0.35
220, 0.25
221, 0.38
222, 0.15
223, 0.51
224, 0.34
225, 0.21
226, 0.42
227, 0.31
228, 0.45
229, 0.17
230, 0.23
231, 0.59
232, 0.33
