ID,Prob1
0, 0.94
1, 0.68
2, 1.12
3, 0.69
4, 0.63
5, 0.82
6, 1.22
7, 2.21
8, 1.18
9, 0.67
10, 0.93
11, 0.77
12, 0.99
13, 1.36
14, 1.06
15, 0.41
16, 0.86
17, 0.76
18, 0.73
19, 1.72
20, 0.95
21, 0.73
22, 1.25
23, 1.29
24, 0.85
25, 1.22
26, 1.33
27, 0.70
28, 0.94
29, 2.16
30, 0.42
31, 0.51
32, 0.89
33, 1.19
34, 1.24
35, 1.65
36, 0.72
37, 1.32
38, 0.90
39, 1.43
40, 1.09
41, 0.56
42, 1.41
43, 2.31
44, 1.06
45, 0.84
46, 1.09
47, 1.48
48, 1.13
49, 1.22
50, 1.14
51, 0.75
52, 1.04
53, 0.63
54, 1.51
55, 0.64
56, 1.41
57, 0.84
58, 0.68
59, 0.52
60, 1.29
61, 0.92
62, 0.75
63, 0.86
64, 0.56
65, 0.82
66, 0.95
67, 0.65
68, 0.84
69, 1.20
70, 2.98
71, 1.75
72, 1.11
73, 0.81
74, 0.74
75, 1.01
76, 0.57
77, 1.29
78, 0.74
79, 0.98
80, 0.92
81, 0.70
82, 0.46
83, 0.74
84, 1.27
85, 0.84
86, 1.28
87, 0.76
88, 0.74
89, 1.39
90, 0.56
91, 0.94
92, 0.96
93, 0.86
94, 0.76
95, 0.86
96, 0.55
97, 1.04
98, 0.73
99, 1.40
100, 0.73
101, 1.31
102, 0.86
103, 0.67
104, 0.26
105, 0.85
106, 0.66
107, 1.34
108, 0.68
109, 0.79
110, 0.99
111, 1.50
112, 0.79
113, 0.84
114, 2.11
115, 0.51
116, 0.68
117, 0.64
118, 1.02
119, 0.73
120, 0.70
121, 0.91
122, 1.68
123, 2.16
124, 0.78
125, 1.49
126, 1.35
127, 0.93
128, 0.73
129, 0.69
130, 1.51
131, 1.28
132, 0.70
133, 0.77
134, 0.71
135, 0.90
136, 0.84
137, 0.42
138, 1.02
139, 0.34
140, 0.59
141, 1.12
142, 2.20
143, 0.78
144, 1.07
145, 0.95
146, 1.20
147, 0.32
148, 0.71
149, 0.93
