ID,Prob1
0, 0.09
1, 0.01
2, 0.05
3, 0.01
4, 0.00
5, 0.01
6, 0.03
7, 0.89
8, 1.00
9, 0.00
10, 0.11
11, 0.02
12, 0.47
13, 0.91
14, 0.09
15, 0.00
16, 0.16
17, 0.00
18, 0.02
19, 0.01
20, 0.32
21, 0.00
22, 0.05
23, 0.21
24, 0.03
25, 0.23
26, 0.44
27, 0.05
28, 0.00
29, 0.84
30, 0.00
31, 0.03
32, 0.02
33, 0.01
34, 0.41
35, 0.31
36, 0.00
37, 0.74
38, 0.80
39, 0.16
40, 0.37
41, 0.00
42, 0.31
43, 0.00
44, 0.89
45, 0.00
46, 0.05
47, 0.99
48, 0.52
49, 0.97
50, 0.98
51, 0.00
52, 0.03
53, 0.00
54, 0.61
55, 0.00
56, 0.97
57, 0.02
58, 0.00
59, 0.02
60, 0.10
61, 0.04
62, 0.00
63, 0.00
64, 0.00
65, 0.02
66, 0.99
67, 0.00
68, 0.13
69, 0.00
70, 0.99
71, 0.87
72, 0.20
73, 0.01
74, 0.01
75, 0.98
76, 0.00
77, 1.00
78, 0.00
79, 0.38
80, 0.45
81, 0.01
82, 0.01
83, 0.01
84, 0.00
85, 0.03
86, 0.33
87, 0.01
88, 0.00
89, 0.44
90, 0.00
91, 0.01
92, 0.86
93, 0.97
94, 0.01
95, 0.00
96, 1.00
97, 0.00
98, 0.03
99, 0.00
100, 0.00
101, 0.55
102, 1.00
103, 0.00
104, 0.18
105, 0.51
106, 0.46
107, 0.85
108, 0.80
109, 0.07
110, 0.97
111, 0.51
112, 0.06
113, 0.03
114, 0.14
115, 0.00
116, 0.00
117, 0.00
118, 0.01
119, 0.90
120, 0.07
121, 0.01
122, 1.00
123, 0.16
124, 0.00
125, 0.01
126, 0.00
127, 0.02
128, 0.07
129, 0.01
130, 0.32
131, 0.97
132, 0.03
133, 1.00
134, 0.00
135, 0.87
136, 0.00
137, 0.00
138, 0.39
139, 0.00
140, 1.00
141, 0.88
142, 0.24
143, 0.00
144, 0.01
145, 0.07
146, 0.44
147, 0.01
148, 0.04
149, 0.08
150, 0.99
151, 0.00
152, 0.87
153, 0.01
154, 1.00
155, 0.02
156, 0.44
157, 0.00
158, 0.00
159, 0.06
160, 0.84
161, 0.04
162, 0.01
163, 0.00
164, 0.03
165, 0.03
166, 0.00
167, 0.04
168, 0.01
169, 0.00
170, 0.00
171, 0.98
172, 0.02
173, 0.29
174, 0.92
175, 0.02
176, 0.03
177, 0.01
178, 0.59
179, 0.02
180, 0.10
181, 0.97
182, 0.02
183, 0.95
184, 0.97
185, 0.83
186, 0.61
187, 0.97
188, 0.00
189, 0.01
190, 1.00
191, 0.02
192, 1.00
193, 0.00
194, 0.01
195, 0.78
196, 0.00
197, 0.00
198, 0.89
199, 0.07
200, 0.02
201, 0.03
202, 0.98
203, 0.00
204, 0.18
205, 0.03
206, 0.00
207, 0.06
208, 0.01
209, 0.77
210, 1.00
211, 0.02
212, 0.98
213, 0.97
214, 0.86
215, 0.00
216, 0.97
217, 0.00
218, 0.00
219, 0.72
220, 0.00
221, 0.02
222, 0.00
223, 0.99
224, 1.00
