ID,Prob1
0, 0.08
1, 0.15
2, 0.19
3, 0.16
4, 0.14
5, 0.22
6, 0.30
7, 0.43
8, 0.12
9, 0.14
10, 0.09
11, 0.17
12, 0.10
13, 0.21
14, 0.18
15, 0.07
16, 0.17
17, 0.12
18, 0.12
19, 0.41
20, 0.18
21, 0.18
22, 0.24
23, 0.22
24, 0.21
25, 0.26
26, 0.30
27, 0.14
28, 0.20
29, 0.42
30, 0.09
31, 0.11
32, 0.20
33, 0.27
34, 0.25
35, 0.31
36, 0.17
37, 0.21
38, 0.16
39, 0.27
40, 0.24
41, 0.12
42, 0.28
43, 0.54
44, 0.14
45, 0.18
46, 0.26
47, 0.29
48, 0.17
49, 0.22
50, 0.16
51, 0.16
52, 0.17
53, 0.11
54, 0.30
55, 0.16
56, 0.21
57, 0.19
58, 0.16
59, 0.09
60, 0.30
61, 0.15
62, 0.16
63, 0.21
64, 0.13
65, 0.17
66, 0.08
67, 0.16
68, 0.18
69, 0.31
70, 0.70
71, 0.30
72, 0.19
73, 0.17
74, 0.16
75, 0.11
76, 0.15
77, 0.19
78, 0.13
79, 0.23
80, 0.17
81, 0.16
82, 0.09
83, 0.20
84, 0.34
85, 0.19
86, 0.30
87, 0.17
88, 0.19
89, 0.24
90, 0.14
91, 0.18
92, 0.21
93, 0.17
94, 0.16
95, 0.18
96, 0.08
97, 0.30
98, 0.18
99, 0.30
100, 0.20
101, 0.25
102, 0.13
103, 0.10
104, 0.02
105, 0.17
106, 0.11
107, 0.29
108, 0.13
109, 0.16
110, 0.21
111, 0.29
112, 0.20
113, 0.18
114, 0.55
115, 0.13
116, 0.18
117, 0.15
118, 0.23
119, 0.15
120, 0.16
121, 0.19
122, 0.28
123, 0.51
124, 0.17
125, 0.35
126, 0.19
127, 0.22
128, 0.13
129, 0.17
130, 0.36
131, 0.20
132, 0.15
133, 0.09
134, 0.15
135, 0.16
136, 0.19
137, 0.11
138, 0.15
139, 0.09
140, 0.13
141, 0.22
142, 0.46
143, 0.17
144, 0.18
145, 0.24
146, 0.22
147, 0.05
148, 0.14
149, 0.09
150, 0.24
151, 0.16
152, 0.13
153, 0.02
154, 0.28
155, 0.15
156, 0.59
157, 0.20
158, 0.07
159, 0.25
160, 0.17
161, 0.18
162, 0.13
163, 0.24
164, 0.13
165, 0.27
166, 0.16
167, 0.13
168, 0.10
169, 0.10
170, 0.21
171, 0.30
172, 0.09
173, 0.70
174, 0.05
175, 0.48
176, 0.22
177, 0.20
178, 0.30
179, 0.19
180, 0.30
181, 0.20
182, 0.19
183, 0.14
184, 0.34
185, 0.07
186, 0.24
187, 0.23
188, 0.11
189, 0.15
190, 0.55
191, 0.21
192, 0.67
193, 0.11
194, 0.17
195, 0.21
196, 0.14
197, 0.29
198, 0.23
199, 0.06
200, 0.14
201, 0.22
202, 0.43
203, 0.18
204, 0.24
205, 0.15
206, 0.23
207, 0.24
208, 0.18
209, 0.30
210, 0.10
211, 0.25
212, 0.19
213, 0.30
214, 0.16
215, 0.10
216, 0.26
217, 0.16
218, 0.06
219, 0.21
220, 0.33
221, 0.29
222, 0.24
223, 0.20
224, 0.17
225, 0.20
226, 0.28
227, 0.17
228, 0.21
229, 0.29
230, 0.20
231, 0.20
232, 0.18
233, 0.17
234, 0.17
235, 0.43
236, 0.21
237, 0.14
238, 0.40
239, 0.16
240, 0.20
241, 0.16
242, 0.28
243, 0.20
244, 0.19
245, 0.39
246, 0.08
247, 0.37
248, 0.16
249, 0.18
250, 0.21
251, 0.14
252, 0.01
253, 0.13
254, 0.20
255, 0.20
256, 0.22
257, 0.17
258, 0.16
259, 0.14
260, 0.16
261, 0.55
262, 0.17
263, 0.21
264, 0.16
265, 0.29
266, 0.16
267, 0.17
268, 0.17
269, 0.21
270, 0.19
271, 0.10
272, 0.17
273, 0.06
274, 0.15
275, 0.07
276, 0.57
277, 0.32
278, 0.14
279, 0.19
280, 0.30
281, 0.19
282, 0.11
283, 0.21
284, 0.14
285, 0.23
286, 0.28
287, 0.18
288, 0.25
289, 0.20
290, 0.09
291, 0.21
292, 0.11
293, 0.45
294, 0.16
295, 0.15
296, 0.18
297, 0.10
298, 0.10
299, 0.29
300, 0.20
301, 0.13
302, 0.54
303, 0.48
304, 0.09
305, 0.19
306, 0.28
307, 0.18
308, 0.17
309, 0.13
310, 0.29
311, 0.21
312, 0.18
313, 0.27
314, 0.55
315, 0.37
316, 0.12
317, 0.26
318, 0.17
319, 0.12
320, 0.13
321, 0.22
322, 0.31
323, 0.18
324, 0.10
325, 0.14
326, 0.26
327, 0.12
328, 0.18
329, 0.13
330, 0.14
331, 0.42
332, 0.18
333, 0.18
334, 0.30
335, 0.17
336, 0.17
337, 0.35
338, 0.20
339, 0.27
340, 0.30
341, 0.16
342, 0.13
343, 0.20
344, 0.14
345, 0.51
346, 0.28
347, 0.10
348, 0.09
349, 0.20
350, 0.11
351, 0.15
352, 0.12
353, 0.16
354, 0.33
355, 0.21
356, 0.14
357, 0.24
358, 0.15
359, 0.23
360, 0.09
361, 0.19
362, 0.13
363, 0.33
364, 0.21
365, 0.38
366, 0.16
367, 0.33
368, 0.15
369, 0.25
370, 0.11
371, 0.13
372, 0.16
373, 0.15
374, 0.27
375, 0.15
376, 0.28
377, 0.19
378, 0.29
379, 0.18
380, 0.58
381, 0.09
382, 0.16
383, 0.66
384, 0.12
385, 0.30
386, 0.15
387, 0.25
388, 0.23
389, 0.23
390, 0.16
391, 0.19
392, 0.16
393, 0.08
394, 0.14
395, 0.08
396, 0.21
397, 0.17
398, 0.11
399, 0.94
400, 0.36
401, 0.20
402, 0.11
403, 0.10
404, 0.12
405, 0.03
406, 0.27
407, 0.30
408, 0.20
409, 0.16
410, 0.09
411, 0.16
412, 0.17
413, 0.16
414, 0.23
415, 0.22
416, 0.28
417, 0.13
418, 0.23
419, 0.15
420, 0.24
421, 0.19
422, 0.30
423, 0.32
424, 0.09
425, 0.21
426, 0.19
427, 0.08
428, 0.13
429, 0.00
430, 0.21
431, 0.32
432, 0.15
433, 0.19
434, 0.27
435, 0.18
436, 0.18
437, 0.23
438, 0.33
439, 0.18
440, 0.11
441, 0.12
442, 0.78
443, 0.13
444, 0.18
445, 0.23
446, 0.17
447, 0.11
448, 0.68
449, 0.49
450, 0.13
451, 0.20
452, 0.17
453, 0.57
454, 0.18
455, 0.17
456, 0.48
457, 0.28
458, 0.29
459, 0.22
460, 0.29
461, 0.17
462, 0.23
463, 0.20
464, 0.15
465, 0.18
466, 0.15
467, 0.09
468, 0.20
469, 0.15
470, 0.14
471, 0.20
472, 0.16
473, 0.21
474, 0.13
475, 0.16
476, 0.18
477, 0.28
478, 0.11
479, 0.18
480, 0.23
481, 0.23
482, 0.26
483, 0.19
484, 0.16
485, 0.20
486, 0.73
487, 0.39
488, 0.18
489, 0.18
490, 0.21
491, 0.33
492, 0.15
493, 0.08
494, 0.69
495, 0.30
496, 0.65
497, 0.36
498, 0.18
499, 0.62
500, 0.27
501, 0.17
502, 0.13
503, 0.21
504, 0.30
505, 0.09
506, 0.12
507, 0.08
508, 0.20
509, 0.31
510, 0.28
511, 0.11
512, 0.18
513, 0.19
514, 0.37
515, 0.67
516, 0.20
517, 0.20
518, 0.51
519, 0.45
520, 0.36
521, 0.13
522, 0.15
523, 0.25
524, 0.18
525, 0.26
526, 0.16
527, 0.30
528, 0.34
529, 0.24
530, 0.07
531, 0.22
532, 0.26
533, 0.14
534, 0.59
535, 0.32
536, 0.23
537, 0.21
538, 0.17
539, 0.31
540, 0.10
541, 0.20
542, 0.49
543, 0.31
544, 0.10
545, 0.34
546, 0.17
547, 0.18
548, 0.19
549, 0.12
550, 0.44
551, 0.28
552, 0.15
553, 0.11
554, 0.23
555, 0.18
556, 0.20
557, 0.10
558, 0.17
559, 0.14
560, 0.14
561, 0.13
562, 0.19
563, 0.15
564, 0.08
565, 0.17
566, 0.15
567, 0.13
568, 0.25
569, 0.18
570, 0.22
571, 0.15
572, 0.18
573, 0.24
574, 0.13
575, 0.19
576, 0.16
577, 0.16
578, 0.23
579, 0.23
580, 0.21
581, 0.20
582, 0.44
583, 0.27
584, 0.10
585, 0.19
586, 0.53
587, 0.29
588, 0.31
589, 0.23
590, 0.14
591, 0.12
592, 0.45
593, 0.15
594, 0.06
595, 0.21
596, 0.16
597, 0.31
598, 0.15
599, 0.22
600, 0.07
601, 0.29
602, 0.18
603, 0.17
604, 0.02
605, 0.12
606, 0.26
607, 0.14
608, 0.23
609, 0.28
610, 0.17
611, 0.36
612, 0.17
613, 0.17
614, 0.14
615, 0.25
616, 0.30
617, 0.17
618, 0.16
619, 0.30
620, 0.28
621, 0.11
622, 0.12
623, 0.10
624, 0.27
625, 0.33
626, 0.17
627, 0.27
628, 0.25
629, 0.28
630, 0.29
631, 0.21
632, 0.17
633, 0.20
634, 0.25
635, 0.39
636, 0.30
637, 0.18
638, 0.16
639, 0.14
640, 0.04
641, 0.12
642, 0.34
643, 0.29
644, 0.20
645, 0.13
646, 0.18
647, 0.15
648, 0.29
649, 0.19
650, 0.29
651, 0.17
652, 0.48
653, 0.16
654, 0.15
655, 0.28
656, 0.08
657, 0.52
658, 0.28
659, 0.13
660, 0.91
661, 0.27
662, 0.10
663, 0.11
664, 0.30
665, 0.10
666, 0.24
667, 0.40
668, 0.25
669, 0.26
670, 0.06
671, 0.35
672, 0.18
673, 0.17
674, 0.17
675, 0.17
676, 0.17
677, 0.14
678, 0.25
679, 0.15
680, 0.40
681, 0.16
682, 0.14
683, 0.16
684, 0.22
685, 0.19
686, 0.11
687, 0.13
688, 0.01
689, 0.14
690, 0.33
691, 0.28
692, 0.18
693, 0.15
694, 0.15
695, 0.24
696, 0.28
697, 0.16
698, 0.06
699, 0.14
700, 0.38
701, 0.18
702, 0.17
703, 0.25
704, 0.45
705, 0.57
706, 0.08
707, 0.11
708, 0.13
709, 0.17
710, 0.40
711, 1.00
712, 0.14
713, 0.22
714, 0.18
715, 0.10
716, 0.51
717, 0.17
718, 0.27
719, 0.13
720, 0.19
721, 0.56
722, 0.29
723, 0.22
724, 0.20
725, 0.20
726, 0.17
727, 0.42
728, 0.19
729, 0.01
730, 0.17
731, 0.20
732, 0.14
733, 0.17
734, 0.10
735, 0.11
736, 0.18
737, 0.20
738, 0.29
739, 0.17
740, 0.40
741, 0.66
742, 0.21
743, 0.10
744, 0.26
745, 0.55
746, 0.55
747, 0.28
748, 0.13
749, 0.15
750, 0.12
751, 0.29
752, 0.14
753, 0.18
754, 0.12
755, 0.58
756, 0.31
757, 0.38
758, 0.08
759, 0.25
760, 0.13
761, 0.17
762, 0.22
763, 0.17
764, 0.20
765, 0.16
766, 0.15
767, 0.11
768, 0.17
769, 0.16
770, 0.10
771, 0.06
772, 0.22
773, 0.10
774, 0.13
775, 0.03
776, 0.11
777, 0.00
778, 0.17
779, 0.19
780, 0.69
781, 0.12
782, 0.16
783, 0.19
784, 0.57
785, 0.27
786, 0.21
787, 0.14
788, 0.86
789, 0.13
790, 0.21
791, 0.17
792, 0.24
793, 0.17
794, 0.36
795, 0.15
796, 0.24
797, 0.81
798, 0.44
799, 0.39
800, 0.28
801, 0.19
802, 0.17
803, 0.18
804, 0.21
805, 0.85
806, 0.14
807, 0.08
808, 0.19
809, 0.25
810, 0.15
811, 0.30
812, 0.15
813, 0.20
814, 0.22
815, 0.14
816, 0.19
817, 0.45
818, 0.16
819, 0.42
820, 0.11
821, 0.26
822, 0.15
823, 0.12
824, 0.31
825, 0.21
826, 0.50
827, 0.20
828, 0.13
829, 0.16
830, 0.19
831, 0.13
832, 0.30
833, 0.47
834, 0.25
835, 0.22
836, 0.31
837, 0.15
838, 0.32
839, 0.07
840, 0.11
841, 0.09
842, 0.12
843, 0.12
844, 0.41
845, 0.23
846, 0.30
847, 0.39
848, 0.13
849, 0.25
850, 0.23
851, 0.42
852, 0.19
853, 0.31
854, 0.16
855, 0.28
856, 0.23
857, 0.30
858, 0.10
859, 0.37
860, 0.00
861, 0.21
862, 0.10
863, 0.20
864, 0.22
865, 0.12
866, 0.20
867, 0.21
868, 0.19
869, 0.16
870, 0.10
871, 0.16
872, 0.37
873, 0.31
874, 0.21
875, 0.30
876, 0.22
877, 0.14
878, 0.14
879, 0.12
880, 0.05
881, 0.22
882, 0.17
883, 0.34
884, 0.28
885, 0.09
886, 0.20
887, 0.34
888, 0.25
889, 0.57
890, 0.31
891, 0.16
892, 0.47
893, 0.20
894, 0.12
895, 0.21
896, 0.17
897, 0.11
898, 0.14
899, 0.14
900, 0.18
901, 0.31
902, 0.35
903, 0.48
904, 0.39
905, 0.28
906, 0.18
907, 0.25
908, 0.72
909, 0.11
910, 0.50
911, 0.19
912, 0.10
913, 0.13
914, 0.14
915, 0.26
916, 0.17
917, 0.23
918, 0.12
919, 0.25
920, 0.24
921, 0.18
922, 0.13
923, 0.66
924, 0.30
925, 0.05
926, 0.12
927, 0.17
928, 0.19
929, 0.16
930, 0.18
931, 0.18
932, 0.00
933, 0.28
934, 0.48
935, 0.08
936, 0.24
937, 0.21
938, 0.41
939, 0.24
940, 0.16
941, 0.13
942, 0.67
943, 0.06
944, 0.19
945, 0.19
946, 0.30
947, 0.14
948, 0.21
949, 0.31
950, 0.25
951, 0.28
952, 0.20
953, 0.50
954, 0.18
955, 0.08
956, 0.13
957, 0.29
958, 0.09
959, 0.18
960, 0.16
961, 0.30
962, 0.12
963, 0.24
964, 0.43
965, 0.11
966, 0.17
967, 0.13
968, 0.08
969, 0.13
970, 0.40
971, 0.34
972, 0.17
973, 0.22
974, 0.14
975, 0.18
976, 0.11
977, 0.12
978, 0.20
979, 0.15
980, 0.35
981, 0.29
982, 0.15
983, 0.20
984, 0.25
985, 0.25
986, 0.11
987, 0.23
988, 0.20
989, 0.12
990, 0.16
991, 0.09
992, 0.24
993, 0.34
994, 0.08
995, 0.15
996, 0.23
997, 0.48
998, 0.27
999, 0.18
1000, 0.12
1001, 0.33
1002, 0.25
1003, 0.18
1004, 0.27
1005, 0.30
1006, 0.19
1007, 0.27
1008, 0.12
1009, 0.56
1010, 0.10
1011, 0.12
1012, 0.16
1013, 0.37
1014, 0.28
1015, 0.17
1016, 0.36
1017, 0.31
1018, 0.52
1019, 0.20
1020, 0.12
1021, 0.30
1022, 0.09
1023, 0.30
1024, 0.18
1025, 0.22
1026, 0.20
1027, 0.48
1028, 0.38
1029, 0.15
