ID,Prob1
0, 0.31
1, 0.30
2, 0.56
3, 0.30
4, 0.27
5, 0.29
6, 0.36
7, 0.60
8, 0.55
9, 0.30
10, 0.48
11, 0.30
12, 0.30
13, 0.50
14, 0.31
15, 0.25
16, 0.30
17, 0.28
18, 0.30
19, 0.36
20, 0.30
21, 0.30
22, 0.30
23, 0.39
24, 0.30
25, 0.36
26, 0.30
27, 0.30
28, 0.30
29, 0.51
30, 0.30
31, 0.30
32, 0.30
33, 0.30
34, 0.34
35, 0.30
36, 0.32
37, 0.30
38, 0.30
39, 0.40
40, 0.31
41, 0.30
42, 0.28
43, 0.37
44, 0.28
45, 0.30
46, 0.30
47, 0.43
48, 0.33
49, 0.31
50, 0.37
51, 0.30
52, 0.34
53, 0.30
54, 0.49
55, 0.30
56, 0.31
57, 0.30
58, 0.30
59, 0.30
60, 0.30
61, 0.29
62, 0.30
63, 0.30
64, 0.30
65, 0.30
66, 0.30
67, 0.30
68, 0.30
69, 0.31
70, 0.55
71, 0.56
72, 0.29
73, 0.30
74, 0.30
75, 0.30
76, 0.30
77, 0.30
78, 0.30
79, 0.32
80, 0.30
81, 0.30
82, 0.30
83, 0.29
84, 0.44
85, 0.31
86, 0.56
87, 0.26
88, 0.30
89, 0.41
90, 0.30
91, 0.30
92, 0.30
93, 0.31
94, 0.30
95, 0.30
96, 0.30
97, 0.30
98, 0.30
99, 0.41
100, 0.29
101, 0.35
102, 0.30
103, 0.30
104, 0.30
105, 0.30
106, 0.27
107, 0.30
108, 0.30
109, 0.30
110, 0.30
111, 0.30
112, 0.30
113, 0.30
114, 0.34
115, 0.30
116, 0.30
117, 0.28
118, 0.34
119, 0.30
120, 0.30
121, 0.37
122, 0.58
123, 0.34
124, 0.30
125, 0.30
126, 0.30
127, 0.16
128, 0.30
129, 0.30
130, 0.35
131, 0.33
132, 0.35
133, 0.30
134, 0.30
135, 0.31
136, 0.30
137, 0.30
138, 0.31
139, 0.22
140, 0.30
141, 0.30
142, 0.45
143, 0.30
144, 0.30
145, 0.26
146, 0.41
147, 0.30
148, 0.30
149, 0.30
150, 0.56
151, 0.30
152, 0.30
153, 0.30
154, 0.57
155, 0.30
156, 0.30
157, 0.30
158, 0.30
159, 0.30
160, 0.30
161, 0.20
162, 0.30
163, 0.29
164, 0.22
165, 0.30
166, 0.30
167, 0.43
168, 0.24
169, 0.30
170, 0.30
171, 0.35
172, 0.30
173, 0.48
174, 0.26
175, 0.31
176, 0.30
177, 0.30
178, 0.55
179, 0.30
180, 0.34
181, 0.57
182, 0.31
183, 0.30
184, 0.49
185, 0.27
186, 0.32
187, 0.30
188, 0.31
189, 0.51
190, 0.58
191, 0.38
192, 0.61
193, 0.30
194, 0.30
195, 0.35
196, 0.28
197, 0.26
198, 0.30
199, 0.30
200, 0.30
201, 0.30
202, 0.38
203, 0.30
204, 0.31
205, 0.30
206, 0.30
207, 0.55
208, 0.30
209, 0.49
210, 0.31
211, 0.32
212, 0.30
213, 0.50
214, 0.31
215, 0.30
216, 0.30
217, 0.30
218, 0.30
219, 0.49
220, 0.30
221, 0.30
222, 0.32
223, 0.42
224, 0.32
225, 0.30
226, 0.36
227, 0.44
228, 0.34
229, 0.28
230, 0.30
231, 0.54
232, 0.30
233, 0.18
234, 0.30
235, 0.30
236, 0.30
237, 0.30
238, 0.35
239, 0.30
240, 0.35
241, 0.30
242, 0.30
243, 0.30
244, 0.30
245, 0.52
246, 0.30
247, 0.54
248, 0.31
249, 0.31
250, 0.55
251, 0.30
252, 0.19
253, 0.30
254, 0.30
255, 0.30
256, 0.56
257, 0.30
258, 0.75
259, 0.31
260, 0.33
261, 0.42
262, 0.30
263, 0.30
264, 0.30
265, 0.30
266, 0.30
267, 0.30
268, 0.30
269, 0.31
270, 0.24
271, 0.27
272, 0.30
273, 0.30
274, 0.56
275, 0.28
276, 0.57
277, 0.57
278, 0.32
279, 0.30
280, 0.56
281, 0.30
282, 0.30
283, 0.29
284, 0.30
285, 0.56
286, 0.53
287, 0.31
288, 0.31
289, 0.30
290, 0.30
291, 0.30
292, 0.28
293, 0.28
294, 0.30
295, 0.30
296, 0.30
297, 0.30
298, 0.30
299, 0.45
300, 0.30
301, 0.30
302, 0.44
303, 0.38
304, 0.22
305, 0.31
306, 0.30
307, 0.29
308, 0.32
309, 0.45
310, 0.30
311, 0.30
312, 0.31
313, 0.30
314, 0.55
315, 0.31
316, 0.26
317, 0.30
318, 0.30
319, 0.30
320, 0.30
321, 0.44
322, 0.30
323, 0.38
324, 0.30
325, 0.33
326, 0.34
327, 0.30
328, 0.30
329, 0.30
330, 0.30
331, 0.19
332, 0.30
333, 0.30
334, 0.33
335, 0.30
336, 0.30
337, 0.61
338, 0.30
339, 0.32
340, 0.30
341, 0.30
342, 0.27
343, 0.30
344, 0.30
345, 0.40
346, 0.41
347, 0.16
348, 0.30
349, 0.43
350, 0.30
351, 0.30
352, 0.30
353, 0.30
354, 0.30
355, 0.30
356, 0.30
357, 0.35
358, 0.30
359, 0.30
360, 0.30
361, 0.30
362, 0.30
363, 0.31
364, 0.30
365, 0.55
366, 0.31
367, 0.30
368, 0.30
369, 0.53
370, 0.30
371, 0.30
372, 0.30
373, 0.30
374, 0.39
375, 0.30
376, 0.31
377, 0.29
378, 0.30
379, 0.46
380, 0.43
381, 0.30
382, 0.36
383, 0.83
384, 0.30
385, 0.30
386, 0.31
387, 0.31
388, 0.30
389, 0.30
390, 0.30
391, 0.30
392, 0.34
393, 0.30
394, 0.34
395, 0.30
396, 0.56
397, 0.31
398, 0.30
399, 0.59
400, 0.31
401, 0.30
402, 0.27
403, 0.30
404, 0.30
405, 0.25
406, 0.33
407, 0.35
408, 0.30
409, 0.30
410, 0.30
411, 0.30
412, 0.30
413, 0.30
414, 0.30
415, 0.28
416, 0.31
417, 0.30
418, 0.30
419, 0.36
420, 0.31
421, 0.29
422, 0.30
423, 0.29
424, 0.30
425, 0.30
426, 0.30
427, 0.31
428, 0.30
429, 0.27
430, 0.25
431, 0.30
432, 0.30
433, 0.29
434, 0.53
435, 0.30
436, 0.30
437, 0.38
438, 0.31
439, 0.30
440, 0.30
441, 0.30
442, 0.56
443, 0.30
444, 0.30
445, 0.28
446, 0.31
447, 0.30
448, 0.58
449, 0.44
450, 0.22
451, 0.59
452, 0.30
453, 0.45
454, 0.30
455, 0.30
456, 0.42
457, 0.33
458, 0.29
459, 0.30
460, 0.45
461, 0.29
462, 0.30
463, 0.30
464, 0.30
465, 0.30
466, 0.30
467, 0.36
468, 0.30
469, 0.30
470, 0.30
471, 0.30
472, 0.30
473, 0.35
474, 0.30
475, 0.30
476, 0.30
477, 0.33
478, 0.30
479, 0.30
480, 0.30
481, 0.30
482, 0.42
483, 0.30
484, 0.30
485, 0.58
486, 0.58
487, 0.35
488, 0.30
489, 0.47
490, 0.30
491, 0.52
492, 0.28
493, 0.30
494, 0.51
495, 0.42
496, 0.45
497, 0.57
498, 0.47
499, 0.45
500, 0.43
501, 0.30
502, 0.30
503, 0.30
504, 0.52
505, 0.30
506, 0.30
507, 0.30
508, 0.30
509, 0.30
510, 0.32
511, 0.30
512, 0.32
513, 0.13
514, 0.41
515, 0.56
516, 0.30
517, 0.30
518, 0.45
519, 0.58
520, 0.26
521, 0.30
522, 0.30
523, 0.30
524, 0.30
525, 0.28
526, 0.30
527, 0.48
528, 0.51
529, 0.30
530, 0.31
531, 0.30
532, 0.40
533, 0.30
534, 0.47
535, 0.41
536, 0.30
537, 0.24
538, 0.30
539, 0.48
540, 0.30
541, 0.30
542, 0.54
543, 0.30
544, 0.30
545, 0.45
546, 0.32
547, 0.30
548, 0.38
549, 0.30
550, 0.39
551, 0.29
552, 0.31
553, 0.30
554, 0.28
555, 0.30
556, 0.28
557, 0.31
558, 0.30
559, 0.30
560, 0.30
561, 0.30
562, 0.30
563, 0.30
564, 0.30
565, 0.30
566, 0.30
567, 0.46
568, 0.30
569, 0.30
570, 0.30
571, 0.30
572, 0.30
573, 0.40
574, 0.30
575, 0.30
576, 0.30
577, 0.44
578, 0.31
579, 0.30
580, 0.60
581, 0.30
582, 0.35
583, 0.37
584, 0.30
585, 0.30
586, 0.41
587, 0.30
588, 0.30
589, 0.52
590, 0.30
591, 0.30
592, 0.42
593, 0.30
594, 0.30
595, 0.30
596, 0.30
597, 0.30
598, 0.30
599, 0.30
600, 0.30
601, 0.31
602, 0.30
603, 0.34
604, 0.29
605, 0.30
606, 0.35
607, 0.29
608, 0.34
609, 0.38
610, 0.30
611, 0.56
612, 0.32
613, 0.24
614, 0.30
615, 0.30
616, 0.46
617, 0.30
618, 0.27
619, 0.30
620, 0.56
621, 0.38
622, 0.30
623, 0.30
624, 0.30
625, 0.38
626, 0.30
627, 0.30
628, 0.45
629, 0.49
630, 0.31
631, 0.30
632, 0.31
633, 0.30
634, 0.30
635, 0.36
636, 0.36
637, 0.30
638, 0.30
639, 0.30
640, 0.28
641, 0.30
642, 0.34
643, 0.44
644, 0.30
645, 0.30
646, 0.30
647, 0.30
648, 0.25
649, 0.32
650, 0.30
651, 0.30
652, 0.51
653, 0.30
654, 0.30
655, 0.30
656, 0.31
657, 0.38
658, 0.31
659, 0.30
660, 0.52
661, 0.30
662, 0.30
663, 0.30
664, 0.56
665, 0.30
666, 0.30
667, 0.30
668, 0.60
669, 0.27
670, 0.30
671, 0.28
672, 0.30
673, 0.30
674, 0.30
675, 0.30
676, 0.30
677, 0.30
678, 0.30
679, 0.30
680, 0.50
681, 0.30
682, 0.30
683, 0.37
684, 0.30
685, 0.30
686, 0.30
687, 0.31
688, 0.30
689, 0.30
690, 0.30
691, 0.30
692, 0.52
693, 0.30
694, 0.56
695, 0.36
696, 0.30
697, 0.30
698, 0.29
699, 0.30
700, 0.31
701, 0.30
702, 0.30
703, 0.31
704, 0.36
705, 0.47
706, 0.25
707, 0.30
708, 0.31
709, 0.26
710, 0.48
711, 0.93
712, 0.30
713, 0.29
714, 0.30
715, 0.32
716, 0.53
717, 0.30
718, 0.30
719, 0.30
720, 0.30
721, 0.41
722, 0.32
723, 0.54
724, 0.30
725, 0.56
726, 0.31
727, 0.57
728, 0.30
729, 0.30
730, 0.30
731, 0.30
732, 0.30
733, 0.30
734, 0.30
735, 0.30
736, 0.33
737, 0.30
738, 0.56
739, 0.33
740, 0.44
741, 0.53
742, 0.30
743, 0.30
744, 0.37
745, 0.45
746, 0.83
747, 0.31
748, 0.30
749, 0.31
750, 0.30
751, 0.54
752, 0.30
753, 0.30
754, 0.30
755, 0.31
756, 0.30
757, 0.26
758, 0.30
759, 0.32
760, 0.30
761, 0.26
762, 0.40
763, 0.30
764, 0.30
765, 0.30
766, 0.30
767, 0.30
768, 0.30
769, 0.46
770, 0.30
771, 0.30
772, 0.31
773, 0.28
774, 0.31
775, 0.30
776, 0.30
777, 0.30
778, 0.31
779, 0.31
780, 0.54
781, 0.30
782, 0.30
783, 0.23
784, 0.34
785, 0.34
786, 0.31
787, 0.31
788, 0.58
789, 0.30
790, 0.30
791, 0.35
792, 0.30
793, 0.51
794, 0.56
795, 0.30
796, 0.31
797, 0.81
798, 0.56
799, 0.30
800, 0.54
801, 0.30
802, 0.30
803, 0.27
804, 0.29
805, 0.60
806, 0.30
807, 0.30
808, 0.30
809, 0.43
810, 0.30
811, 0.55
812, 0.30
813, 0.30
814, 0.37
815, 0.30
816, 0.30
817, 0.57
818, 0.30
819, 0.31
820, 0.30
821, 0.30
822, 0.30
823, 0.30
824, 0.30
825, 0.30
826, 0.50
827, 0.28
828, 0.30
829, 0.56
830, 0.30
831, 0.31
832, 0.30
833, 0.40
834, 0.30
835, 0.54
836, 0.33
837, 0.29
838, 0.31
839, 0.29
840, 0.30
841, 0.30
842, 0.30
843, 0.30
844, 0.35
845, 0.30
846, 0.40
847, 0.32
848, 0.30
849, 0.37
850, 0.35
851, 0.30
852, 0.32
853, 0.37
854, 0.30
855, 0.30
856, 0.42
857, 0.44
858, 0.30
859, 0.39
860, 0.30
861, 0.30
862, 0.30
863, 0.29
864, 0.32
865, 0.31
866, 0.24
867, 0.55
868, 0.30
869, 0.30
870, 0.55
871, 0.30
872, 0.30
873, 0.30
874, 0.30
875, 0.37
876, 0.30
877, 0.30
878, 0.39
879, 0.29
880, 0.30
881, 0.30
882, 0.30
883, 0.31
884, 0.30
885, 0.30
886, 0.30
887, 0.32
888, 0.32
889, 0.31
890, 0.34
891, 0.30
892, 0.31
