ID,Prob1
0, 1.00
1, 0.10
2, 0.76
3, 0.09
4, 0.14
5, 0.03
6, 0.08
7, 0.92
8, 0.82
9, 0.04
10, 0.88
11, 0.23
12, 0.91
13, 0.56
14, 0.70
15, 0.06
16, 0.36
17, 0.47
18, 0.33
19, 0.25
20, 0.45
21, 0.08
22, 0.47
23, 0.58
24, 0.18
25, 0.23
26, 0.08
27, 0.06
28, 0.19
29, 0.93
30, 0.07
31, 0.22
32, 0.14
33, 0.32
34, 0.36
35, 0.73
36, 0.17
37, 0.78
38, 0.17
39, 0.67
40, 0.19
41, 0.02
42, 0.51
43, 0.49
44, 0.70
45, 0.32
46, 0.18
47, 0.30
48, 0.88
49, 0.41
50, 0.32
51, 0.07
52, 0.47
53, 0.22
54, 0.36
55, 0.18
56, 0.91
57, 0.20
58, 0.12
59, 0.15
60, 0.15
61, 0.40
62, 0.10
63, 0.03
64, 0.02
65, 0.19
66, 0.50
67, 0.04
68, 0.04
69, 0.06
70, 0.43
71, 0.50
72, 0.29
73, 0.10
74, 0.25
75, 0.95
76, 0.07
77, 0.45
78, 0.23
79, 0.13
80, 0.13
81, 0.26
82, 0.17
83, 0.06
84, 0.06
85, 0.09
86, 0.02
87, 0.34
88, 0.15
89, 0.36
90, 0.13
91, 0.30
92, 0.14
93, 0.08
94, 0.11
95, 0.54
96, 0.09
97, 0.03
98, 0.11
99, 0.49
100, 0.07
101, 0.46
102, 0.66
103, 0.11
104, 0.07
105, 0.23
106, 0.06
107, 0.59
108, 0.10
109, 0.23
110, 0.13
111, 0.91
112, 0.18
113, 0.18
114, 0.07
115, 0.04
116, 0.10
117, 0.14
118, 0.27
119, 0.24
120, 0.03
121, 0.07
122, 0.87
123, 0.49
124, 0.09
125, 0.69
126, 0.94
127, 0.10
128, 0.19
129, 0.04
130, 0.49
131, 0.96
132, 0.11
133, 0.73
134, 0.05
135, 0.33
136, 0.19
137, 0.05
138, 0.73
139, 0.01
140, 0.17
141, 0.39
142, 0.60
143, 0.03
144, 0.11
145, 0.17
146, 0.40
147, 0.15
148, 0.10
149, 0.39
150, 0.68
151, 0.32
152, 0.92
153, 0.09
154, 0.56
155, 0.06
156, 0.26
157, 0.07
158, 0.08
159, 0.13
160, 0.21
161, 0.03
162, 0.00
163, 0.18
164, 0.04
165, 0.78
166, 0.14
167, 0.42
168, 0.03
169, 0.21
170, 0.13
171, 0.94
172, 0.06
173, 0.50
174, 0.11
175, 0.27
176, 0.23
177, 0.15
178, 0.94
179, 0.04
180, 0.37
181, 0.51
182, 0.07
183, 0.23
184, 0.65
185, 0.16
186, 0.72
187, 0.95
188, 0.03
189, 0.16
190, 0.98
191, 0.27
192, 0.09
193, 0.06
194, 0.32
195, 0.38
196, 0.04
197, 0.16
198, 0.17
199, 0.01
200, 0.10
201, 0.07
202, 0.87
203, 0.04
204, 0.35
205, 0.15
206, 0.06
207, 0.15
208, 0.31
209, 0.91
210, 0.07
211, 0.38
212, 0.52
213, 0.32
214, 0.37
215, 0.04
216, 0.56
217, 0.28
218, 0.08
219, 0.45
220, 0.25
221, 0.17
222, 0.01
223, 0.42
224, 0.79
225, 0.10
226, 0.56
227, 0.18
228, 0.29
229, 0.10
230, 0.26
231, 0.23
232, 0.21
233, 0.11
234, 0.06
235, 0.52
236, 0.08
237, 0.34
238, 0.59
239, 0.27
240, 0.28
241, 0.20
242, 0.10
243, 0.16
244, 0.26
245, 0.35
246, 0.15
247, 0.67
248, 0.82
249, 0.06
250, 0.94
251, 0.21
252, 0.09
253, 0.05
254, 0.34
255, 0.15
256, 0.28
257, 0.18
258, 0.97
259, 0.21
260, 0.84
261, 0.53
262, 0.15
263, 0.01
264, 0.13
265, 0.01
266, 0.19
267, 0.09
268, 0.26
269, 0.15
270, 0.04
271, 0.01
272, 0.04
273, 0.19
274, 0.37
275, 0.38
276, 0.73
277, 0.94
278, 0.18
279, 0.31
280, 0.84
281, 0.17
282, 0.10
283, 0.38
284, 0.05
285, 0.10
286, 0.61
287, 0.54
288, 0.19
289, 0.20
290, 0.17
291, 0.14
292, 0.38
293, 0.20
294, 0.08
295, 0.05
296, 0.18
297, 0.01
298, 0.15
299, 0.76
300, 0.06
301, 0.76
302, 0.74
303, 0.15
304, 0.14
305, 0.38
306, 0.34
307, 0.21
308, 0.11
309, 0.81
310, 0.74
311, 0.24
312, 0.40
313, 0.07
314, 0.96
315, 0.19
316, 0.02
317, 0.63
318, 0.19
319, 0.39
320, 0.80
321, 0.37
322, 0.33
323, 0.47
324, 0.22
325, 0.65
326, 0.34
327, 0.15
328, 0.20
329, 0.14
330, 0.19
331, 0.23
332, 0.23
333, 0.31
334, 0.86
335, 0.04
336, 0.70
337, 0.66
338, 0.50
339, 0.10
340, 0.70
341, 0.17
342, 0.03
343, 0.01
344, 0.15
345, 0.29
346, 0.59
347, 0.02
348, 0.14
349, 0.27
350, 0.14
351, 0.41
352, 0.35
353, 0.47
354, 0.04
355, 0.12
356, 0.02
357, 0.53
358, 0.40
359, 0.03
360, 0.08
361, 0.15
362, 0.84
363, 0.46
364, 0.62
365, 0.97
366, 0.18
367, 0.44
368, 0.29
369, 0.66
370, 0.21
371, 0.19
372, 0.44
373, 0.19
374, 0.12
375, 0.19
376, 0.09
377, 0.21
378, 0.48
379, 0.12
380, 0.51
381, 0.21
382, 0.25
383, 0.51
384, 0.18
385, 0.42
386, 0.21
387, 0.21
388, 0.34
389, 0.05
390, 0.04
391, 0.33
392, 0.74
393, 0.28
394, 0.13
395, 0.31
396, 0.14
397, 0.21
398, 0.49
399, 0.91
400, 0.07
401, 0.18
402, 0.01
403, 0.13
404, 0.30
405, 0.08
406, 0.11
407, 0.40
408, 0.51
409, 0.30
410, 0.04
411, 0.50
412, 0.46
413, 0.31
414, 0.10
415, 0.22
416, 0.33
417, 0.21
418, 0.34
419, 0.25
420, 0.89
421, 0.56
422, 0.24
423, 0.34
424, 0.05
425, 0.40
426, 0.08
427, 0.33
428, 0.20
429, 0.05
430, 0.44
431, 0.44
432, 0.23
433, 0.08
434, 0.95
435, 0.22
436, 0.22
437, 0.38
438, 0.29
439, 0.19
440, 0.16
441, 0.16
442, 0.65
443, 0.16
444, 0.14
445, 0.26
446, 0.48
447, 0.06
448, 0.71
449, 0.12
450, 0.17
451, 0.77
452, 0.05
453, 0.48
454, 0.28
455, 0.14
456, 0.94
457, 0.49
458, 0.35
459, 0.10
460, 0.05
461, 0.19
462, 0.16
463, 0.08
464, 0.21
465, 0.05
466, 0.12
467, 0.44
468, 0.29
469, 0.24
470, 0.29
471, 0.32
472, 0.83
473, 0.20
474, 0.36
475, 0.17
476, 0.07
477, 0.11
478, 0.09
479, 0.44
480, 0.58
481, 0.49
482, 0.71
483, 0.67
484, 0.09
485, 0.95
486, 0.23
487, 0.97
488, 0.86
489, 0.20
490, 0.14
491, 0.58
492, 0.07
493, 0.08
494, 0.68
495, 0.05
496, 0.98
497, 0.52
498, 0.96
499, 0.64
500, 0.25
501, 0.09
502, 0.24
503, 0.16
504, 0.95
505, 0.03
506, 0.73
507, 0.06
508, 0.08
509, 0.17
510, 0.84
511, 0.06
512, 0.15
513, 0.04
514, 0.23
515, 0.41
516, 0.11
517, 0.21
518, 0.14
519, 0.88
520, 0.81
521, 0.24
522, 0.04
523, 0.44
524, 0.11
525, 0.56
526, 0.08
527, 0.22
528, 0.81
529, 0.15
530, 0.17
531, 0.80
532, 0.29
533, 0.22
534, 0.87
535, 0.32
536, 0.22
537, 0.32
538, 0.46
539, 0.71
540, 0.10
541, 0.00
542, 0.72
543, 0.18
544, 0.10
545, 0.81
546, 0.73
547, 0.06
548, 0.95
549, 0.03
550, 0.40
551, 0.30
552, 0.45
553, 0.11
554, 0.26
555, 0.17
556, 0.31
557, 0.19
558, 0.13
559, 0.20
560, 0.26
561, 0.26
562, 0.04
563, 0.11
564, 0.27
565, 0.64
566, 0.26
567, 0.10
568, 0.22
569, 0.08
570, 0.23
571, 0.15
572, 0.06
573, 0.44
574, 0.54
575, 0.14
576, 0.02
577, 0.62
578, 0.21
579, 0.27
580, 0.58
581, 0.06
582, 0.68
583, 0.16
584, 0.05
585, 0.11
586, 0.58
587, 0.38
588, 0.09
589, 0.93
590, 0.06
591, 0.13
592, 0.35
593, 0.61
594, 0.64
595, 0.91
596, 0.13
597, 0.33
598, 0.10
599, 0.20
600, 0.59
601, 0.30
602, 0.02
603, 0.44
604, 0.06
605, 0.04
606, 0.11
607, 0.05
608, 0.30
609, 0.46
610, 0.42
611, 0.95
612, 0.44
613, 0.46
614, 0.04
615, 0.10
616, 0.02
617, 0.24
618, 0.03
619, 0.10
620, 0.51
621, 0.16
622, 0.67
623, 0.44
624, 0.07
625, 0.18
626, 0.08
627, 0.07
628, 0.13
629, 0.94
630, 0.55
631, 0.61
632, 0.14
633, 0.36
634, 0.10
635, 0.47
636, 0.33
637, 0.11
638, 0.78
639, 0.28
640, 0.09
641, 0.88
642, 0.57
643, 0.22
644, 0.89
645, 0.03
646, 0.11
647, 0.13
648, 0.23
649, 0.46
650, 0.14
651, 0.05
652, 0.66
653, 0.01
654, 0.14
655, 0.44
656, 0.06
657, 0.77
658, 0.71
659, 0.04
660, 0.85
661, 0.86
662, 0.15
663, 0.09
664, 0.96
665, 0.14
666, 0.28
667, 0.23
668, 0.83
669, 0.06
670, 0.04
671, 0.09
672, 0.09
673, 0.09
674, 0.25
675, 0.32
676, 0.51
677, 0.24
678, 0.67
679, 0.19
680, 0.72
681, 0.13
682, 0.93
683, 0.38
684, 0.29
685, 0.25
686, 0.35
687, 0.32
688, 0.22
689, 0.24
690, 0.63
691, 0.12
692, 0.71
693, 0.14
694, 0.33
695, 0.55
696, 0.20
697, 0.16
698, 0.01
699, 0.24
700, 0.04
701, 0.11
702, 0.51
703, 0.17
704, 0.40
705, 0.36
706, 0.24
707, 0.06
708, 0.38
709, 0.17
710, 0.63
711, 0.96
712, 0.11
713, 0.25
714, 0.07
715, 0.14
716, 0.84
717, 0.08
718, 0.31
719, 0.04
720, 0.20
721, 0.76
722, 0.89
723, 0.41
724, 0.04
725, 0.84
726, 0.13
727, 0.45
728, 0.08
729, 0.12
730, 0.10
731, 0.11
732, 0.11
733, 0.07
734, 0.03
735, 0.37
736, 0.44
737, 0.13
738, 0.97
739, 0.11
740, 0.60
741, 0.82
742, 0.27
743, 0.18
744, 0.35
745, 0.57
746, 0.58
747, 0.22
748, 0.19
749, 0.12
750, 0.14
751, 0.93
752, 0.06
753, 0.04
754, 0.07
755, 0.44
756, 0.11
757, 0.04
758, 0.24
759, 0.15
760, 0.23
761, 0.44
762, 0.34
763, 0.17
764, 0.20
765, 0.33
766, 0.12
767, 0.05
768, 0.12
769, 0.14
770, 0.23
771, 0.03
772, 0.07
773, 0.04
774, 0.07
775, 0.02
776, 0.13
777, 0.04
778, 0.20
779, 0.02
780, 0.96
781, 0.07
782, 0.08
783, 0.68
784, 0.72
785, 0.40
786, 0.19
787, 0.09
788, 0.79
789, 0.39
790, 0.21
791, 0.09
792, 0.28
793, 0.95
794, 0.61
795, 0.08
796, 0.31
797, 0.95
798, 0.47
799, 0.40
800, 0.97
801, 0.10
802, 0.20
803, 0.20
804, 0.46
805, 0.90
806, 0.17
807, 0.06
808, 0.16
809, 0.58
810, 0.62
811, 0.81
812, 0.03
813, 0.10
814, 0.55
815, 0.04
816, 0.63
817, 0.59
818, 0.05
819, 0.25
820, 0.14
821, 0.24
822, 0.18
823, 0.13
824, 0.21
825, 0.09
826, 0.64
827, 0.14
828, 0.38
829, 0.49
830, 0.01
831, 0.05
832, 0.26
833, 0.54
834, 0.18
835, 0.56
836, 0.55
837, 0.09
838, 0.26
839, 0.00
840, 0.22
841, 0.75
842, 0.08
843, 0.23
844, 0.23
845, 0.85
846, 0.30
847, 0.31
848, 0.23
849, 0.88
850, 0.25
851, 0.16
852, 0.26
853, 0.53
854, 0.16
855, 0.14
856, 0.38
857, 0.96
858, 0.03
859, 0.27
860, 0.00
861, 0.01
862, 0.33
863, 0.27
864, 0.65
865, 0.40
866, 0.14
867, 0.26
868, 0.06
869, 0.50
870, 0.28
871, 0.50
872, 0.10
873, 0.39
874, 0.18
875, 0.56
876, 0.78
877, 0.09
878, 0.73
879, 0.15
880, 0.20
881, 0.21
882, 0.02
883, 0.24
884, 0.20
885, 0.22
886, 0.22
887, 0.21
888, 0.34
889, 0.59
890, 0.32
891, 0.72
892, 0.31
893, 0.21
894, 0.10
895, 0.15
896, 0.13
897, 0.08
898, 0.19
899, 0.03
900, 0.95
901, 0.78
902, 0.06
903, 0.00
904, 0.73
905, 0.95
906, 0.21
907, 0.39
908, 0.95
909, 0.65
910, 0.48
911, 0.06
912, 0.11
913, 0.10
914, 0.01
915, 0.08
916, 0.53
917, 0.46
918, 0.72
919, 0.35
920, 0.77
921, 0.25
922, 0.13
923, 0.60
924, 0.97
925, 0.07
926, 0.18
927, 0.13
928, 0.96
929, 0.18
930, 0.20
931, 0.09
932, 0.03
933, 0.33
934, 0.01
935, 0.26
936, 0.14
937, 0.21
938, 0.20
939, 0.79
940, 0.10
941, 0.03
942, 0.64
943, 0.12
944, 0.25
945, 0.05
946, 0.36
947, 0.19
948, 0.12
949, 0.27
950, 0.03
951, 0.93
952, 0.03
953, 0.96
954, 0.20
955, 0.48
956, 0.15
957, 0.05
958, 0.74
959, 0.31
960, 0.21
961, 0.62
962, 0.08
963, 0.50
964, 0.24
965, 0.02
966, 0.97
967, 0.59
968, 0.03
969, 0.15
970, 0.95
971, 0.27
972, 0.81
973, 0.65
974, 0.62
975, 0.80
976, 0.20
977, 0.16
978, 0.31
979, 0.13
980, 0.19
981, 0.92
982, 0.18
983, 0.24
984, 0.04
985, 0.11
986, 0.15
987, 0.21
988, 0.04
989, 0.58
990, 0.18
991, 0.64
992, 0.19
993, 0.38
994, 0.04
995, 0.27
996, 0.47
997, 0.34
998, 0.15
999, 0.05
1000, 0.05
1001, 0.95
1002, 0.81
1003, 0.16
1004, 0.77
1005, 0.12
1006, 0.18
1007, 0.90
1008, 0.06
1009, 0.27
1010, 0.01
1011, 0.74
1012, 0.15
1013, 0.59
1014, 0.59
1015, 0.07
1016, 0.80
1017, 0.75
1018, 0.30
1019, 0.13
1020, 0.61
1021, 0.55
1022, 0.14
1023, 0.99
1024, 0.21
1025, 0.51
1026, 0.17
1027, 0.76
1028, 0.11
1029, 0.19
1030, 0.40
1031, 0.72
1032, 0.10
1033, 0.20
1034, 0.15
1035, 0.23
1036, 0.18
1037, 0.64
1038, 0.28
1039, 0.16
1040, 0.36
1041, 0.29
1042, 0.26
1043, 0.20
1044, 0.59
1045, 0.45
1046, 0.28
1047, 0.07
1048, 0.66
1049, 0.82
1050, 0.00
1051, 0.93
1052, 0.18
1053, 0.05
1054, 0.21
1055, 0.30
1056, 0.61
1057, 0.17
1058, 0.10
1059, 0.38
1060, 0.12
1061, 0.00
1062, 0.15
1063, 0.19
