ID,Prob1
0, 0.52
1, 0.19
2, 0.41
3, 0.17
4, 0.16
5, 0.15
6, 0.24
7, 0.72
8, 0.61
9, 0.16
10, 0.49
11, 0.20
12, 0.52
13, 0.55
14, 0.39
15, 0.15
16, 0.27
17, 0.27
18, 0.27
19, 0.34
20, 0.33
21, 0.15
22, 0.40
23, 0.47
24, 0.17
25, 0.31
26, 0.32
27, 0.20
28, 0.27
29, 0.69
30, 0.12
31, 0.14
32, 0.24
33, 0.29
34, 0.39
35, 0.55
36, 0.16
37, 0.49
38, 0.31
39, 0.46
40, 0.25
41, 0.14
42, 0.41
43, 0.50
44, 0.53
45, 0.29
46, 0.26
47, 0.51
48, 0.48
49, 0.40
50, 0.48
51, 0.20
52, 0.40
53, 0.23
54, 0.45
55, 0.13
56, 0.59
57, 0.20
58, 0.14
59, 0.21
60, 0.28
61, 0.38
62, 0.21
63, 0.17
64, 0.14
65, 0.24
66, 0.57
67, 0.14
68, 0.22
69, 0.22
70, 0.72
71, 0.66
72, 0.40
73, 0.24
74, 0.17
75, 0.54
76, 0.09
77, 0.49
78, 0.28
79, 0.23
80, 0.28
81, 0.19
82, 0.16
83, 0.11
84, 0.20
85, 0.20
86, 0.29
87, 0.19
88, 0.12
89, 0.50
90, 0.13
91, 0.30
92, 0.22
93, 0.29
94, 0.19
95, 0.29
96, 0.23
97, 0.12
98, 0.15
99, 0.41
100, 0.10
101, 0.48
102, 0.36
103, 0.28
104, 0.15
105, 0.24
106, 0.22
107, 0.37
108, 0.21
109, 0.21
110, 0.26
111, 0.48
112, 0.14
113, 0.25
114, 0.38
115, 0.08
116, 0.12
117, 0.15
118, 0.27
119, 0.22
120, 0.17
121, 0.25
122, 0.67
123, 0.50
124, 0.20
125, 0.37
126, 0.59
127, 0.18
128, 0.25
129, 0.14
130, 0.39
131, 0.52
132, 0.18
133, 0.39
134, 0.20
135, 0.31
136, 0.22
137, 0.07
138, 0.43
139, 0.06
140, 0.14
141, 0.37
142, 0.64
143, 0.19
144, 0.39
145, 0.19
146, 0.38
147, 0.15
148, 0.24
149, 0.51
150, 0.64
151, 0.21
152, 0.64
153, 0.18
154, 0.66
155, 0.12
156, 0.45
157, 0.12
158, 0.19
159, 0.20
160, 0.28
161, 0.09
162, 0.10
163, 0.18
164, 0.10
165, 0.51
166, 0.15
167, 0.37
168, 0.09
169, 0.20
170, 0.13
171, 0.60
172, 0.14
173, 0.59
174, 0.17
175, 0.32
176, 0.23
177, 0.28
178, 0.63
179, 0.13
180, 0.46
181, 0.61
182, 0.14
183, 0.23
184, 0.60
185, 0.30
186, 0.52
187, 0.69
188, 0.21
189, 0.20
190, 0.87
191, 0.20
192, 0.40
193, 0.09
194, 0.30
195, 0.43
196, 0.08
